Bad wavelengths arrays for LSC
type    lam_cen(nm)   halfwidth  halfheight
x        772.61          12          3
x        867.027          8          1
x        852.379         12          1
x        841.048         15          2
x        842.692         12          2
x        811.752         12          1
x        826.676         10          1
x        810.592         10          1
x        801.696         12          2
x        800.832         10          1
x        810.590         12          1
x        811.750         14          1
x        795.038         12          1
x        788.790         10          1
x        737.210         15          1
x        751.673         14          1
x        750.593         20          3
x        738.601         14          3
x        727.494         12          1
x        714.890         10          1
x        706.906         12          2
x        696.735         14          2
w        764.500         5.0         0
w        692.450         3.55        0
w        689.500         2.80        0
w        596.915         0.01        0
