Selected ThAr lines from tharwavelen + dbg.  Vacuum Ritz lam, badlines removed
lambda(nm)    Bright
 437.940698    6800.
 438.309124    5000.
 439.234406    6100.
 467.496916   15000.
 468.750613    4600.
 469.635196    4900.
 470.530601   18000.
 471.380000    1900.
 472.475959   14000.
 477.962981   10000.
 479.072563    5700.
 482.420253    7400.
 482.495436    2300.
 482.804917    4700.
 483.247123    7000.
 484.971699    6000.
 486.449949    1500.
 486.453198    4000.
 486.683654    9200.
 487.427785    4400.
 488.009558    7200.
 492.118931    5000.
 500.349241    7800.
 503.000804    1300.
 503.005798    6100.
 504.063553    5300.
 504.612616    9700.
 504.617350     630.
 506.635740    4700.
 511.647003    6800.
 514.534955    2900.
 515.304697    6000.
 515.567882    7800.
 516.004117   16000.
 519.726052    5100.
 520.024744    3000.
 520.061159    9200.
 521.268133    6900.
 523.261585   15000.
 525.982380    9200.
 526.817597    4600.
 527.558644    1800.
 531.347951    7300.
 531.400683    3400.
 532.845751    4400.
 534.506745   11000.
 538.060615    3300.
 538.810805    4700.
 539.192429    2400.
 539.626057    4100.
 540.915691    4900.
 541.227294    3700.
 541.899174   12000.
 542.551555    2500.
 545.373391    3800.
 546.572369    1700.
 550.078300   11000.
 550.583108    2800.
 551.152430    5400.
 551.640495    3500.
 554.080028   14000.
 554.971683    5100.
 555.858887    4800.
 557.273850    4900.
 557.490122   10000.
 557.775306    2200.
 558.090761    4900.
 558.857770   20000.
 559.661707    4900.
 560.315827    5000.
 560.607168    1100.
 561.362601    2400.
 561.687836    7100.
 565.055883    1500.
 565.949551    1900.
 566.675196    4300.
 567.862812    1900.
 568.676960    1100.
 570.868669    2900.
 572.120917    6300.
 572.176951   31000.
 572.697664    5300.
 574.342146    1700.
 575.033545    2900.
 575.098296     830.
 575.462199    4400.
 576.214823   53000.
 576.512728    3700.
 579.125041    3400.
 579.403644    2700.
 580.243793    6000.
 580.575039   18000.
 581.703419    1200.
 584.753939     550.
 585.430321    2600.
 585.509712    1300.
 585.574322    2000.
 586.534356    1400.
 588.733272    5200.
 589.308366    3400.
 590.147892     930.
 590.720710    2100.
 591.056283    1800.
 591.059482     830.
 591.630973    5600.
 592.704527    1600.
 592.750588     610.
 592.753395     620.
 592.787399    3100.
 594.010216    2700.
 594.047049    6200.
 594.629428    2700.
 597.671990    7400.
 599.070362    3700.
 600.682811    1800.
 600.873581    4500.
 601.182490    3200.
 602.270305    5500.
 608.705941    2200.
 608.971578    4700.
 610.428384    4800.
 610.624882    1100.
 610.627221    1000.
 612.617566    1800.
 614.034540     340.
 615.728443    2000.
 616.618534    5700.
 617.152931   18000.
 618.014104    2800.
 618.241515    2400.
 618.433236   38000.
 618.644772     350.
 618.983728    6000.
 619.361848    5900.
 619.993755    9300.
 620.520876   16000.
 620.893737    9300.
 622.173205    1500.
 622.624913    7800.
 622.809216    2300.
 624.484511       0.
 625.915446    3000.
 626.315068    8500.
 627.327890    1000.
 627.585200    2000.
 629.293133    1700.
 629.498280    1400.
 631.752118     890.
 632.902723    6900.
 633.937253    1600.
 634.142131     940.
 634.461323   15000.
 635.049277    2600.
 637.370512    3000.
 637.869341    6700.
 638.916126    2300.
 649.253055    5200.
 651.416308    3900.
 653.314611   17000.
 655.597079    6500.
 656.068702    1100.
 657.903116    5800.
 658.572430   32000.
 659.035927   26000.
 661.519963     650.
 662.177405    1200.
 666.410812   16000.
 667.653978    3000.
 672.931538    4400.
 675.831764    9700.
 678.018305    3800.
 678.199641    3300.
 678.228439    4300.
 679.071388    1900.
 679.310936    1800.
 703.822334    1500.
 704.773998    1100.
 705.556468     620.
 706.260061    3800.
 706.639940    1500.
 708.612215   12000.
 715.225534    4100.
 717.087098   30000.
 720.202963    2200.
 720.999275   14000.
 721.467738    2900.
 722.004340    6500.
 722.114077    2300.
