Selected Redman 2013 ThAr lines.  Vacuum lam from energy levels.
lambda(nm)    Bright  dlambda(nm)
 380.4154600  24000.  0.0000030
 380.5063860   1700.  0.0000060
 380.8955190   2000.  0.0000060
 381.2076890   2300.  0.0000070
 381.4149690   2400.  0.0000060
 381.4897510   1500.  0.0000060
 381.6648760    960.  0.0000040
 381.9769030   2200.  0.0000030
 382.1876560   2600.  0.0000030
 382.2515030   1000.  0.0000060
 382.4152350   1600.  0.0000070
 382.6218240   2400.  0.0000060
 382.7454550   1200.  0.0000100
 382.9470766  14000.  0.0000017
 383.1147100   1100.  0.0000070
 383.1860284   3500.  0.0000009
 383.2726800    950.  0.0000030
 383.2823460    640.  0.0000090
 383.7627440   2000.  0.0000040
 383.7673380   5200.  0.0000030
 383.8963681   8600.  0.0000023
 384.0784238  16000.  0.0000015
 384.0835330   2800.  0.0000050
 384.1889730   1800.  0.0000030
 384.3049790   2000.  0.0000070
 384.3986640   1500.  0.0000050
 384.7978620   1500.  0.0000030
 385.0274660    980.  0.0000050
 385.3227570   3500.  0.0000040
 385.5603770   2200.  0.0000070
 386.0933850   1800.  0.0000060
 386.3516070    830.  0.0000040
 386.4500950   2600.  0.0000050
 386.8005340    790.  0.0000110
 387.0760150   2400.  0.0000040
 387.3819910   1600.  0.0000060
 387.4245538   1800.  0.0000011
 387.4571838   4000.  0.0000017
 387.4920230  12000.  0.0000030
 387.5341840   4400.  0.0000030
 387.5960100  10000.  0.0000040
 387.6471310   4100.  0.0000070
 387.6744530   1000.  0.0000050
 388.0743550   4000.  0.0000040
 388.5925790   7000.  0.0000070
 388.8017286   5600.  0.0000023
 388.8120890   1300.  0.0000040
 389.4754950    470.  0.0000050
 389.6522660   7000.  0.0000040
 389.9541770   1900.  0.0000030
 390.1681590   1200.  0.0000060
 390.1983340   2100.  0.0000070
 390.2767190    860.  0.0000040
 390.4207880   3000.  0.0000040
 390.6292530    720.  0.0000090
 391.0246020    600.  0.0000110
 391.3016809   2100.  0.0000025
 391.3060079    890.  0.0000014
 391.3388800    450.  0.0000070
 391.4113480    430.  0.0000090
 391.4190130    500.  0.0000080
 391.7526593   4200.  0.0000020
 391.8378760   1100.  0.0000070
 391.9179720    660.  0.0000080
 392.0043840    770.  0.0000030
 392.0133130   4600.  0.0000030
 392.4910486   2500.  0.0000022
 392.6204670   6800.  0.0000023
 392.6330440   1400.  0.0000060
 392.6707100    660.  0.0000030
 392.8533630    490.  0.0000090
 392.9976880    540.  0.0000040
 393.0402705    770.  0.0000007
 393.0758320    520.  0.0000160
 393.0781760   9100.  0.0000040
 393.0957160    610.  0.0000160
 393.3339360    420.  0.0000050
 393.4024491   9200.  0.0000022
 393.4351100    480.  0.0000080
 393.8154830    590.  0.0000070
 393.9038430    560.  0.0000070
 393.9729210    720.  0.0000060
 394.3188690    630.  0.0000040
 394.4510330    860.  0.0000050
 394.4721620    650.  0.0000070
 394.4806510    450.  0.0000130
 394.5369710    660.  0.0000080
 394.6623880   1100.  0.0000070
 394.6936800    660.  0.0000070
 394.7262190   1700.  0.0000110
 394.7508830   1900.  0.0000030
 394.7599380    570.  0.0000030
 394.8447870   2000.  0.0000050
 394.9147744  15000.  0.0000013
 394.9251890   1100.  0.0000030
 395.0081410   1000.  0.0000050
 395.1513110  42000.  0.0000016
 395.2633110   1000.  0.0000080
 395.3879260   2100.  0.0000040
 395.6289170   1200.  0.0000060
 395.7713100   1000.  0.0000060
 395.7810230   2100.  0.0000090
 396.0420170   2900.  0.0000050
 396.3540417   1100.  0.0000025
 396.8514530   6300.  0.0000030
 396.9598570   9400.  0.0000060
 397.0125430   1200.  0.0000070
 397.3763080   1600.  0.0000040
 397.4319850   2900.  0.0000040
 398.1215110   1700.  0.0000080
 398.2232350    910.  0.0000090
 398.8332950    920.  0.0000070
 399.1620479   1900.  0.0000025
 399.2859450   1900.  0.0000050
 399.5678790   3900.  0.0000070
 399.7191580   1100.  0.0000090
 400.0083220    890.  0.0000060
 400.1411950   1400.  0.0000060
 400.2189140   3800.  0.0000030
 400.3024652   1600.  0.0000008
 400.4440410   1200.  0.0000060
 400.4705760    710.  0.0000070
 400.6224970   3000.  0.0000040
 400.7093810    420.  0.0000100
 400.7513430    440.  0.0000070
 400.8151570    940.  0.0000070
 400.9343216   7800.  0.0000023
 401.0144230   1200.  0.0000040
 401.0190590   4400.  0.0000040
 401.0952860    690.  0.0000060
 401.2725460   1600.  0.0000030
 401.2873665   2900.  0.0000011
 401.3629257   9500.  0.0000019
 401.5851009   1700.  0.0000025
 401.8198000    440.  0.0000040
 401.9234550   1200.  0.0000050
 402.0264730  20000.  0.0000021
 402.1490270    980.  0.0000080
 402.3204040   2400.  0.0000030
 402.3232560   1000.  0.0000040
 402.4474780    720.  0.0000050
 402.5939666   1900.  0.0000011
 402.6793230    620.  0.0000050
 402.7299010    550.  0.0000050
 402.8146970   4300.  0.0000030
 402.9472370    230.  0.0000080
 403.0795990    890.  0.0000090
 403.0964150   1500.  0.0000030
 403.1430750   2100.  0.0000050
 403.1981254  15000.  0.0000014
 403.3592460   1800.  0.0000040
 403.3734530   2300.  0.0000060
 403.4915290   1000.  0.0000040
 403.5046617   2000.  0.0000024
 403.5386050    540.  0.0000050
 403.7188036  24000.  0.0000008
 403.7705600   2500.  0.0000070
 403.8702080    750.  0.0000090
 403.9369507   1000.  0.0000025
 404.1006080   1300.  0.0000070
