Site,MJD,camera,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
"lsc",2458500.246943900,"fa09",7.008940079147249,5.962775791809509,2.113584939901272,1.379060020833432,1.169463223414696,0.2109944442410769,0.3535117827148556,0.3238447460581950,0.06353972912582134,0.05871883702912495,-7.740465906302563,-6.710040015430914,-2.471388312727488,-1.605952807676460,-1.429029831128620,-0.4752700543689450,-0.3424369198948888,-0.4022282445225567,-0.09931471461838043,-0.1539214302308091
"lsc",2458584.246943900,"fa09",7.009119020393191,5.963422406539928,2.113810225147460,1.379382299926099,1.169823228841625,0.2113903291601907,0.3535822229653582,0.3240287060089249,0.06356053952047300,0.05915960489246497,-7.740498130111322,-6.710016780750131,-2.471407510824986,-1.605990842913601,-1.429104933710298,-0.4753014090955983,-0.3424564508042960,-0.4022777483406215,-0.09932183700212310,-0.1538848636754234
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.009119020393191,5.963422406539928,2.113810225147460,1.379382299926099,1.169823228841625,0.2113903291601907,0.3535822229653582,0.3240287060089249,0.06356053952047300,0.05915960489246497,-7.740498130111322,-6.710016780750131,-2.471407510824986,-1.605990842913601,-1.429104933710298,-0.4753014090955983,-0.3424564508042960,-0.4022777483406215,-0.09932183700212310,-0.1538848636754234
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.002862487583436,5.961137177344725,2.071139314619463,1.372779310261607,1.161120332741761,0.09928852621677953,0.3486157012656602,0.3316572208718995,0.07469266825989050,0.05906090582217272,-7.750993990555073,-6.709890169478879,-2.473919910318209,-1.580589062072492,-1.446642849061782,-0.4784400569072018,-0.3450798535463939,-0.4323313574818433,-0.09863612908163835,-0.1464207828950990
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.009119020393191,5.963422406539928,2.113810225147460,1.379382299926099,1.169823228841625,0.2113903291601907,0.3535822229653582,0.3240287060089249,0.06356053952047300,0.05915960489246497,-7.740498130111322,-6.710016780750131,-2.471407510824986,-1.605990842913601,-1.429104933710298,-0.4753014090955983,-0.3424564508042960,-0.4022777483406215,-0.09932183700212310,-0.1538848636754234
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.008967186101033,5.962969845967132,2.113583102167839,1.379062630039666,1.169542450015465,0.2109964409930097,0.3534971820932007,0.3238131537473787,0.06353822627654301,0.05889816722797137,-7.740501056241490,-6.710052963801991,-2.471424988607410,-1.606010823407917,-1.429082957780601,-0.4753322036366010,-0.3424762437891987,-0.4023143033108079,-0.09932203756508934,-0.1539016449667500
